EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-12-1,55,48,41,56,48,38,100,97,89,29.99,29.89,29.83,10,4,0,16,7,22,0.09,7,Fog-Rain,191
2015-12-2,48,40,33,42,37,29,100,91,68,29.97,29.83,29.73,10,6,0,25,4,40,0.01,5,Fog-Rain,289
2015-12-3,39,34,30,33,30,26,89,80,75,30.46,30.23,29.98,10,9,7,15,10,28,0.00,7,,266
2015-12-4,32,30,27,29,28,24,96,92,85,30.68,30.59,30.46,8,4,1,8,4,,0.00,6,,251
2015-12-5,44,36,27,31,29,26,100,91,58,30.73,30.65,30.55,10,3,0,6,1,,0.00,2,Fog,102
2015-12-6,46,34,21,36,28,19,100,88,63,30.58,30.44,30.26,10,4,0,10,2,,0.00,0,Fog-Snow,178
2015-12-7,51,40,30,36,34,28,100,84,54,30.25,30.18,30.12,10,7,1,8,1,,0.00,3,,283
2015-12-8,53,42,32,40,37,32,100,84,57,30.14,30.08,29.97,10,6,0,14,3,,0.00,5,Fog,177
2015-12-9,52,46,39,43,39,36,93,79,66,29.96,29.86,29.78,10,9,6,13,8,,0.00,3,,188
2015-12-10,55,46,37,46,42,36,100,89,64,29.94,29.87,29.76,10,5,0,15,7,20,0.00,2,Fog,178
2015-12-11,60,53,46,54,49,44,97,87,72,29.97,29.89,29.76,10,7,2,14,7,23,0.00,6,Rain,188
2015-12-12,68,62,57,61,58,53,90,81,76,30.13,30.05,29.95,10,10,10,16,10,23,0.00,8,,198
2015-12-13,63,60,57,57,55,52,96,84,72,30.12,30.00,29.78,10,10,7,13,8,,0.00,1,,157
2015-12-14,62,54,46,56,48,43,96,78,60,29.75,29.55,29.42,10,9,2,28,13,43,0.22,6,Rain,196
2015-12-15,46,44,42,44,38,35,90,80,73,30.01,29.85,29.64,10,10,9,22,11,30,0.00,8,Rain,252
2015-12-16,59,48,37,45,40,35,89,72,60,30.00,29.88,29.71,10,10,10,15,7,,0.00,4,,143
2015-12-17,57,44,30,49,30,23,80,69,57,29.98,29.84,29.72,10,10,10,18,12,23,0.00,6,,291
2015-12-18,36,30,25,22,19,13,72,63,49,30.16,30.03,29.97,10,10,6,23,11,34,0.00,7,Snow,264
2015-12-19,32,28,24,18,14,10,66,56,40,30.51,30.34,30.14,10,10,10,18,11,26,0.00,1,,245
2015-12-20,44,34,23,21,18,13,71,53,37,30.51,30.38,30.18,10,10,10,15,7,22,0.00,0,,164
2015-12-21,53,46,39,52,41,22,100,83,45,30.16,29.98,29.88,10,6,2,15,11,,0.23,7,Rain,178
2015-12-22,57,51,45,54,50,45,100,90,67,29.93,29.84,29.76,10,7,2,13,7,,0.36,6,Rain,193
2015-12-23,64,58,52,57,54,50,97,91,78,29.87,29.70,29.52,10,9,2,16,10,32,0.69,6,Rain-Thunderstorm,153
2015-12-24,57,51,45,54,43,34,97,74,49,30.08,29.91,29.58,10,10,10,21,8,29,0.00,1,,214
2015-12-25,51,46,42,46,41,36,89,79,68,30.32,30.19,30.05,10,10,10,13,6,,0.00,3,,354
2015-12-26,59,50,44,57,48,36,100,90,71,30.32,30.15,30.00,10,7,2,12,8,,0.58,8,Rain,128
2015-12-27,66,52,37,63,49,34,100,93,82,30.29,30.03,29.88,10,8,2,25,11,50,0.52,8,Rain,29
2015-12-28,55,45,35,50,35,31,93,86,79,30.29,29.98,29.61,10,9,2,24,15,34,0.23,8,Rain,81
2015-12-29,54,46,37,53,42,31,97,83,71,30.20,29.90,29.66,10,8,2,23,11,32,0.27,8,Rain,235
2015-12-30,43,39,34,37,33,29,83,80,76,30.23,30.18,30.08,10,10,10,14,5,,0.00,8,,276
2015-12-31,34,32,30,30,27,23,92,84,75,30.32,30.26,30.19,10,8,1,14,8,18,0.00,8,Snow,281
